Time                                    Download                                Upload                                  
2023-04-17 16:52:23.507524              388.0B                                  306.0B                                  
2023-04-17 16:52:24.517526              66.0B                                   66.0B                                   
2023-04-17 17:07:18.356877              0.0B                                    92.0B                                   
2023-04-17 17:07:19.358681              0.0B                                    92.0B                                   
2023-04-17 17:07:24.534652              188.0B                                  283.0B                                  
2023-04-17 17:39:32.653977              0.0B                                    0.0B                                    
2023-04-17 17:39:33.654721              88.0B                                   162.0B                                  
2023-04-17 17:39:34.653904              0.0B                                    0.0B                                    
2023-04-17 17:39:35.653819              0.0B                                    0.0B                                    
2023-04-17 17:39:36.665819              0.0B                                    0.0B                                    
2023-04-17 17:39:37.666907              165.0B                                  54.0B                                   
2023-04-17 17:39:38.664905              0.0B                                    0.0B                                    
2023-04-17 17:39:39.665251              223.0B                                  54.0B                                   
2023-04-17 17:39:40.663252              0.0B                                    0.0B                                    
2023-04-17 17:39:41.661266              188.0B                                  191.0B                                  
2023-04-17 17:39:42.661252              0.0B                                    0.0B                                    
2023-04-17 17:39:43.659490              0.0B                                    0.0B                                    
2023-04-17 17:39:44.655492              638.0B                                  225.0B                                  
2023-04-17 17:39:45.671490              139.99999999999997B                     54.0B                                   
2023-04-17 17:39:46.675486              189.0B                                  135.0B                                  
2023-04-17 17:39:47.676491              0.0B                                    0.0B                                    
2023-04-17 17:39:48.673491              0.0B                                    217.0B                                  
2023-04-17 17:39:49.671456              0.0B                                    217.0B                                  
2023-04-17 17:39:50.670223              0.0B                                    217.0B                                  
2023-04-17 17:39:51.669277              0.0B                                    217.0B                                  
2023-04-17 17:39:52.671301              0.0B                                    0.0B                                    
2023-04-17 17:39:53.679302              279.0B                                  108.0B                                  
2023-04-17 17:39:54.668303              325.0B                                  108.0B                                  
2023-04-17 17:48:05.013678              0.0B                                    0.0B                                    
2023-04-17 17:48:06.015685              4.951KB                                 8.625KB                                 
2023-04-17 17:48:07.016690              0.0B                                    0.0B                                    
2023-04-17 17:48:08.018689              0.0B                                    0.0B                                    
2023-04-17 17:48:09.022689              0.0B                                    0.0B                                    
2023-04-17 17:48:10.021686              0.0B                                    0.0B                                    
2023-04-17 17:48:11.020685              625.0B                                  108.0B                                  
2023-04-17 17:48:12.017777              188.0B                                  191.0B                                  
2023-04-17 17:48:13.018777              1.13KB                                  194.0B                                  
2023-04-17 17:48:14.021671              453.0B                                  279.0B                                  
2023-04-17 17:48:15.021237              0.0B                                    0.0B                                    
2023-04-17 17:48:16.020265              0.0B                                    0.0B                                    
2023-04-17 17:48:17.017234              6.66KB                                  9.052KB                                 
2023-04-17 17:48:18.027044              392.0B                                  259.99999999999994B                     
2023-04-17 17:48:19.012042              0.0B                                    0.0B                                    
2023-04-17 17:48:20.013044              115.0B                                  54.0B                                   
2023-04-17 17:48:41.532628              338.065137MB                            132.257664MB                            
2023-04-17 17:48:42.029625              0.0B                                    0.0B                                    
2023-04-17 17:48:43.036625              0.0B                                    0.0B                                    
2023-04-17 17:48:44.035921              5.995KB                                 8.600999999999999KB                     
2023-04-17 17:54:55.771598              277.99999999999994B                     54.0B                                   
2023-04-17 17:54:56.772687              0.0B                                    0.0B                                    
2023-04-17 17:54:57.763687              0.0B                                    0.0B                                    
2023-04-17 17:54:58.766161              106.0B                                  54.0B                                   
2023-04-17 17:54:59.770159              330.0B                                  225.0B                                  
2023-04-17 17:55:00.774587              0.0B                                    0.0B                                    
2023-04-17 17:55:01.774838              281.0B                                  54.0B                                   
2023-04-17 17:55:02.764322              0.0B                                    0.0B                                    
